service_name,provider_name,care_type,organisation_type,address,suburb,postcode,latitude,longitude,source_note
Campbell Place,Australian Unity Care Services Pty Ltd,Residential,Private Incorporated Body,129 Coleman Parade,Glen Waverley,3150,-37.8791,145.159111999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Emmy Monash Aged Care,Emmy Monash Aged Care Inc,Residential,Religious,518-526 Dandenong Road,Caulfield North,3161,-37.866235,145.026589,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
AdventCare Whitehorse,Seventh-Day Adventist Aged Care (Victoria) Ltd,Residential,Religious,163-165 Central Road,Nunawading,3131,-37.8246589999999,145.167496999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Churches of Christ Oak Towers Aged Care Service,Churches of Christ in Queensland,Residential,Religious,139 Atherton Road,Oakleigh,3166,-37.8993439999999,145.097873999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Uniting AgeWell Box Hill,Uniting Agewell Limited,Residential,Religious,75 Thames Street,Box Hill,3128,-37.813741,145.123748,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Regis East Malvern,Regis Aged Care Pty Ltd,Residential,Private Incorporated Body,400 Waverley Road,Malvern East,3145,-37.8780009999999,145.063516999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Villa Maria Catholic Homes John R Hannah Aged Care Residence,Villa Maria Catholic Homes Limited,Residential,Charitable,68 Wattle Grove,Mulgrave,3170,-37.933211,145.158478,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Box Hill Views Care Community,DPG Services Pty Ltd,Residential,Private Incorporated Body,40 Dorking Road,Box Hill,3128,-37.816395,145.131322,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Cumberland View Aged Care - Whalley Drive,Tingari Group Pty Ltd,Residential,Private Incorporated Body,123-127 Whalley Drive,Wheelers Hill,3150,-37.922744,145.198647999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Regis Alawarra Lodge,Regis Aged Care Pty Ltd,Residential,Private Incorporated Body,220 Middleborough Road,Blackburn South,3130,-37.838993,145.137869999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Vermont Views Care Community,DPG Services Pty Ltd,Residential,Private Incorporated Body,39 Livingstone Road,Vermont South,3133,-37.854967,145.180252999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Outlook Gardens Aged Care,Association for Christian Senior Citizens Homes Inc,Residential,Religious,504 Police Road,Dandenong North,3175,-37.940133,145.211218,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Mercy Place Dandenong,Mercy Aged and Community Care Ltd,Residential,Charitable,82 McCrae Street,Dandenong,3175,-37.990931,145.219925999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Oaklea Hall,Aged Care Group Pty Ltd,Residential,Private Incorporated Body,4-8 Earlstown Road,Oakleigh,3166,-37.899467,145.085326,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Arcare Cheltenham,Arcare Pty Ltd,Residential,Private Incorporated Body,161A Centre Dandenong Road,Cheltenham,3192,-37.967784,145.075837,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Lifeview Argyle Court,Chevron Corporation Pty Ltd,Residential,Private Incorporated Body,81-83 Argyle Avenue,Chelsea,3196,-38.052612,145.127941999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Calvary Kingston Gardens,Calvary Aged Care Limited,Residential,Charitable,173-213 Clarke Road,Springvale South,3172,-37.974812,145.144835,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Cheltenham Parkside Care Community,DPG Services Pty Ltd,Residential,Private Incorporated Body,13 Eagland Road,Cheltenham,3192,-37.971397,145.075934999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Estia Health Bentleigh,Estia Investments Pty Ltd,Residential,Private Incorporated Body,34-36 Clairmont Avenue,Bentleigh,3204,-37.921903,145.026873999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Cheltenham Manor,Cheltenham Manor Pty Ltd,Residential,Private Incorporated Body,10-12 Bendigo Street,Cheltenham,3192,-37.964255,145.059497999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Malvern East Horizons Care Community,DPG Services Pty Ltd,Residential,Private Incorporated Body,235 WAVERLEY Road,Malvern East,3145,-37.878214,145.066624999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Allambee Nursing Home Kingston Centre,Monash Health,Residential,State Government,376 Warrigal Road,Cheltenham,3192,-37.9575499999999,145.078759999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Boollam Boollam Aged Care Centre,Monash Health,Residential,State Government,376 Warrigal Road,Cheltenham,3192,-37.9575499999999,145.078759999999,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Mooraleigh Hostel,Monash Health,Residential,State Government,748 Centre Road,Bentleigh East,3165,-37.921796,145.062735,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
Mercy Place Nixon,Mercy Aged and Community Care Ltd,Residential,Charitable,27 Chute Street,Mordialloc,3195,-38.006919,145.092352,"Aged Care Service List (data.gov.au / Dept of Health, Disability and Ageing), 30 June 2025"
