stop_id,stop_name,latitude,longitude
10093,Warland Rd/Carrington St,-37.93606921,145.03372288
10094,Dane Rd/Spring Rd,-37.93994574,145.03381301
10095,Besant St/Spring Rd,-37.94259331,145.03316209
10099,Bluff Rd/Wickham Rd,-37.94288719,145.02327695
10100,June St/Bluff Rd,-37.94550441,145.02243298
10101,Abberfield Nursing Home/Bluff Rd,-37.94805549,145.02194351
10102,Sandringham College/Bluff Rd,-37.95077656,145.02138116
10103,Bay Rd/Bluff Rd,-37.95432383,145.02064863
10104,Holloway Rd/Bluff Rd,-37.95769938,145.01988649
10105,College Gr/Balcombe Rd,-37.97575224,145.0189688
10106,Cullinane St/Balcombe Rd,-37.97603147,145.02110158
10107,Hunter Ave/Balcombe Rd,-37.97638519,145.02391544
10108,Summerhill Rd/Balcombe Rd,-37.97668155,145.02653734
10109,Haydens Rd/Balcombe Rd,-37.97710062,145.03003259
10110,McNaught St/Balcombe Rd,-37.97805351,145.03527829
10111,Morey St/Balcombe Rd,-37.9781401,145.03938591
10168,Larissa Ave/Maroondah Hwy,-37.81209504,145.23574985
10169,Oliver St/Maroondah Hwy,-37.80945219,145.23920915
10170,Rupert St/Maroondah Hwy,-37.80850283,145.24020858
10171,Leonard St/Maroondah Hwy,-37.80707171,145.24213948
10172,Mines Rd/Maroondah Hwy,-37.80504761,145.24479993
10173,Dublin Rd/Maroondah Hwy,-37.80268077,145.24744562
10174,Everard Rd/Maroondah Hwy,-37.80176258,145.24872807
10358,Darren Ct/Bernard St,-37.9529432,145.05947201
10381,Parnell St/Bernard St,-37.95339543,145.06285166
10385,Regent Pde/Bernard St,-37.95368042,145.06483587
10386,Cheltenham Sec Col/Bernard St,-37.95402239,145.067547
10387,Willen St/Bernard St,-37.95453925,145.07158518
10388,Kingston Centre/Bernard St,-37.95475456,145.0759272
10389,Warrigal Rd/Kingston Rd,-37.9534012,145.07803388
10390,Kingston Centre/Kingston Rd,-37.95366634,145.08047391
10391,St Andrews Dr/Kingston Rd,-37.953993,145.08282131
10392,Kingston Heath Golf Club/Kingston Rd,-37.95433869,145.08634051
10393,Kingston Rd,-37.95482827,145.09040232
10394,Pietro Rd/Kingston Rd,-37.95532671,145.09446396
10395,Old Dandenong Rd/Kingston Rd,-37.95597392,145.09937543
10397,Peace Rd/Kingston Rd,-37.95691436,145.10739804
10398,Heatherton Christian College/Kingston Rd,-37.95741167,145.1114258
10400,Victory Rd/Clayton Rd,-37.95324117,145.11435514
10421,Warrigal Rd/Waverley Rd,-37.8805105,145.09222114
10422,Margot St/Waverley Rd,-37.88088045,145.09558847
10423,Amaroo St/Waverley Rd,-37.88125988,145.09843256
10424,Baradine St/Waverley Rd,-37.88159622,145.10140287
10426,Nyrang St/Huntingdale Rd,-37.88133384,145.10917533
10427,Melinga Cres/Huntingdale Rd,-37.87814434,145.1097799
10428,Burton St/Huntingdale Rd,-37.87634709,145.1100987
10429,Jordanville Station/Huntingdale Rd,-37.87245549,145.11075522
10430,Electra Ave/Huntingdale Rd,-37.87059608,145.1111324
10431,High Street Rd/Huntingdale Rd,-37.86745142,145.11172426
10432,Sylvan Cres/Huntingdale Rd,-37.86622959,145.11196007
10433,Essex Heights Reserve/Huntingdale Rd,-37.86353405,145.11246082
10434,Eildon Rd/Huntingdale Rd,-37.86220448,145.11272209
10435,Arthur St/Huntingdale Rd,-37.85988546,145.11309951
10436,Leyland Rd/Huntingdale Rd,-37.85745115,145.11359351
10437,Peacock St/Highbury Rd,-37.85555133,145.11482401
10438,Station St/Highbury Rd,-37.85595755,145.11824624
10439,Goold St/Station St,-37.85450301,145.11914703
10440,Talbett St/Station St,-37.85309253,145.11942156
10441,Station St/Burwood Hwy,-37.85066567,145.11925592
10442,Deakin University/Burwood Hwy,-37.85017687,145.11517685
10443,Presbyterian Ladies College/Elgar Rd ,-37.84890651,145.10901525
10444,Daniel St/Elgar Rd,-37.84695683,145.10938327
10445,Deakin University/Elgar Rd ,-37.84388387,145.10995041
10446,Cadorna St/Elgar Rd,-37.84172718,145.11033502
10447,Wattle Park/Elgar Rd,-37.83768868,145.11082444
10451,Corrigan Rd/Henderson Rd,-37.98191686,145.1644922
10452,Walnut Cres/Henderson Rd,-37.98175828,145.16299325
